Date,house_starts,build_permit,cpi,ppi,gdp,corp_profit,ind_prod,home_sales,home_constr,imports,personal_consump,unempl_claims,consum_sent,lead_ind,t10_2,bus_confid,unempl_rate,cap_util,euro_confid,recess_prob,CAPE,fed_funds,VTI,AGG,DBC,^VIX,VTI_1d_Rtn,AGG_1d_Rtn,DBC_1d_Rtn,^VIX_1d_Rtn
3/15/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.052469136,1.002289717,1.011990501,4.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.037730105,0.996314242,0.988510544,0.83517294,0.004487905,-0.002710017,-0.011068418,0.056797079
3/16/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.052469136,1.002289717,1.011990501,3.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.0399683,1.000525076,0.997021339,0.881530494,0.002156818,0.004226412,0.008609717,0.055506532
3/17/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.052469136,1.002289717,1.011990501,3.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.040767284,0.99832023,0.992340425,0.891832211,0.000768277,-0.002203689,-0.004694899,0.011686173
3/20/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.064814815,1.002289717,1.011990501,1.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.038568713,0.997917964,0.971914892,0.867549656,-0.002112452,-0.000402943,-0.020583192,-0.027227717
3/21/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.079027356,1.002289717,1.011990501,-1.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.032789405,0.995312435,0.975319116,0.855040453,-0.005564685,-0.002610965,0.003502595,-0.014419006
3/22/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.079027356,1.002289717,1.011990501,-4.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.039050187,0.997116928,0.973616863,0.824871222,0.006062012,0.001812991,-0.001745329,-0.03528398
3/23/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.079027356,1.002289717,1.011990501,-4.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.038809194,0.996314242,0.990212797,0.821927885,-0.000231936,-0.000805006,0.017045652,-0.003568239
3/24/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.079027356,1.002289717,1.011990501,-5.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.040173341,0.998018613,0.98808498,0.823399518,0.001313184,0.001710676,-0.002148848,0.001790466
3/27/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.137426901,1.002289717,1.011990501,-2.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.039451557,0.998820903,0.99404249,0.843267102,-0.000693907,0.000803883,0.00602935,0.024128728
3/28/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.137426901,1.002289717,1.011990501,-2.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.033351665,0.996314242,1.006808354,0.852097115,-0.005868375,-0.00250962,0.012842373,0.010471194
3/29/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.137426901,1.002289717,1.011990501,-1.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.042982507,0.994310034,1.013616897,0.805739491,0.009320004,-0.002011622,0.006762501,-0.054404155
3/30/2006,0.340080972,0.027158099,0.034179182,0.055302537,0.065156682,0.223655056,0.020248431,-0.159638554,0.085430969,0.064202549,0.062162728,-0.137426901,1.002289717,1.011990501,2.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.040173341,0.989799364,1.025957386,0.851361263,-0.002693397,-0.004536483,0.012174707,0.056620995
3/31/2006,-0.064971751,-0.014883721,0.030975736,0.046451613,0.052350229,0.193708108,0.01823281,-0.114285714,0.074773414,0.064202549,0.052371405,-0.137426901,1.002289717,1.011990501,4.00E-06,1.0034159,0.047,0.806663,1.002922203,0.0008,1.241879141,0.047634257,1.04073543,0.993107325,1.018723374,0.838116278,0.000540381,0.003342053,-0.007050986,-0.015557421
4/3/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.131343284,0.999774121,1.011723048,2.00E-06,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.039611764,0.992131505,1.023404194,0.851361263,-0.001079685,-0.000982593,0.00459479,0.015803279
4/4/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.131343284,0.999774121,1.011723048,3.00E-06,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.045631381,0.99343948,1.017872248,0.819720399,0.005790255,0.001318349,-0.005405437,-0.037165027
4/5/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.131343284,0.999774121,1.011723048,3.00E-06,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.049483769,0.994143759,1.024255321,0.818984547,0.00368427,0.00070893,0.006270996,-0.000897687
4/6/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.131343284,0.999774121,1.011723048,6.00E-06,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.049002466,0.993339359,1.042553131,0.84253125,-0.000458609,-0.000809139,0.017864502,0.028751095
4/7/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.131343284,0.999774121,1.011723048,8.00E-06,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.037765972,0.990018404,1.037872217,0.902133929,-0.0107116,-0.003343223,-0.004489857,0.070742396
4/10/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.074303406,0.999774121,1.011723048,8.00E-06,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.039129778,0.989113025,1.057021343,0.896983035,0.001314175,-0.000914507,0.018450369,-0.005709678
4/11/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.074303406,0.999774121,1.011723048,5.00E-06,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.029739673,0.991124949,1.061276694,0.956585714,-0.009036508,0.002034069,0.004025795,0.066447945
4/12/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.074303406,0.999774121,1.011723048,7.00E-06,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.031826799,0.9902199,1.059148877,0.938925687,0.002026849,-0.000913154,-0.002004959,-0.018461521
4/13/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.074303406,0.999774121,1.011723048,9.00E-06,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.031585806,0.988207052,1.06595742,0.910963942,-0.00023356,-0.002032728,0.006428315,-0.029780573
4/17/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.074303406,0.999774121,1.011723048,1.00E-05,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.029980837,0.989817106,1.077446782,0.925680632,-0.001555827,0.001629268,0.010778444,0.016155073
4/18/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.026058632,0.999774121,1.011723048,1.50E-05,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.047718081,0.989113025,1.091489336,0.83885206,0.017220946,-0.000711325,0.013033176,-0.093799707
4/19/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.026058632,0.999774121,1.011723048,1.80E-05,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.050848258,0.990018404,1.102127666,0.832965384,0.002987614,0.000915345,0.009746618,-0.007017537
4/20/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.026058632,0.999774121,1.011723048,1.50E-05,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.052292765,0.988508933,1.089361802,0.856512157,0.00137461,-0.00152469,-0.011582927,0.028268609
4/21/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.026058632,0.999774121,1.011723048,1.10E-05,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.051811462,0.988408416,1.112340339,0.852832967,-0.000457385,-0.000101686,0.021093577,-0.004295549
4/24/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,0.003257329,0.999774121,1.011723048,1.00E-05,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.048761046,0.992131505,1.090212834,0.864606318,-0.002900154,0.003766752,-0.019892746,0.013804991
4/25/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.028391167,0.999774121,1.011723048,1.20E-05,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.045390559,0.98881055,1.093617058,0.864606318,-0.00321378,-0.003347293,0.003122532,0
4/26/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.028391167,0.999774121,1.011723048,1.30E-05,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.045631381,0.987100704,1.089361802,0.86534217,0.000230366,-0.001729194,-0.003890993,0.000851083
4/27/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.028391167,0.999774121,1.011723048,1.80E-05,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.048681199,0.98941484,1.072340399,0.871228846,0.002916724,0.002344376,-0.015625115,0.006802714
4/28/2006,-0.282485876,-0.070697674,0.036138358,0.06,0.064287713,0.249941914,0.021203999,-0.108730159,0.0581571,0.064202549,0.059135324,-0.028391167,0.999774121,1.011723048,2.00E-05,1.003248231,0.047,0.807769,1.003110061,0.0022,1.233362308,0.049760504,1.05068771,0.991628853,1.090212834,0.852832967,0.001913366,0.0022377,0.016666756,-0.021114865
5/1/2006,-0.096045198,-0.113953488,0.039235932,0.069677419,0.064287713,0.249941914,0.021496875,-0.138095238,0.064199396,0.064202549,0.063767515,0.012618297,0.996954569,1.011150858,2.00E-05,1.001860295,0.046,0.806674,1.002805918,0.0014,1.209935883,0.051358014,1.045631381,0.987740346,1.102127666,0.922737294,-0.004812399,-0.003921333,0.010928904,0.081967196
5/2/2006,0.163636364,-0.086330935,0.039772727,0.074530136,0.064287713,0.249941914,0.020413396,-0.155520995,0.06580938,0.064202549,0.064601688,-0.038922156,0.996954569,1.011150858,2.00E-05,1.001860295,0.046,0.806674,1.002805918,0.0014,1.209935883,0.051358014,1.051811462,0.988749738,1.114893624,0.882266346,0.005910382,0.00102192,0.011583012,-0.043859664
5/3/2006,0.163636364,-0.086330935,0.039772727,0.074530136,0.064287713,0.249941914,0.020413396,-0.155520995,0.06580938,0.064202549,0.064601688,-0.038922156,0.996954569,1.011150858,2.10E-05,1.001860295,0.046,0.806674,1.002805918,0.0014,1.209935883,0.051358014,1.048761046,0.988041964,1.094893654,0.882266346,-0.002900154,-0.000715828,-0.017938904,0
5/4/2006,0.163636364,-0.086330935,0.039772727,0.074530136,0.064287713,0.249941914,0.020413396,-0.155520995,0.06580938,0.064202549,0.064601688,-0.038922156,0.996954569,1.011150858,1.90E-05,1.001860295,0.046,0.806674,1.002805918,0.0014,1.209935883,0.051358014,1.053657168,0.987537861,1.081702039,0.87270048,0.004668482,-0.000510203,-0.012048308,-0.010842378
